id,total_len,nb_groups,len_groups,max_len_group
10015_svg,142,18,"[23, 9, 5, 5, 5, 5, 7, 7, 7, 5, 7, 6, 7, 7, 7, 19, 5, 6]",23
10019_svg,39,3,"[25, 8, 6]",25
10003_svg,38,4,"[8, 11, 10, 9]",11
10020_svg,135,10,"[8, 10, 13, 5, 7, 10, 16, 6, 30, 30]",30
10017_svg,183,17,"[12, 12, 4, 27, 8, 4, 26, 8, 6, 7, 7, 10, 12, 10, 6, 12, 12]",27
10035_svg,153,16,"[10, 26, 10, 8, 8, 8, 8, 4, 4, 7, 7, 6, 27, 4, 8, 8]",27
10042_svg,39,2,"[18, 21]",21
10044_svg,57,7,"[12, 13, 12, 5, 5, 5, 5]",13
10018_svg,178,8,"[59, 7, 39, 4, 53, 4, 6, 6]",59
10049_svg,114,18,"[6, 14, 8, 8, 5, 3, 3, 3, 3, 8, 7, 7, 4, 4, 8, 4, 10, 9]",14
10043_svg,73,2,"[60, 13]",60
10102_svg,22,2,"[11, 11]",11
1007_svg,52,5,"[20, 7, 5, 13, 7]",20
10108_svg,44,2,"[37, 7]",37
1009_svg,60,6,"[7, 16, 8, 8, 13, 8]",16
10041_svg,317,52,"[48, 4, 4, 4, 4, 9, 4, 11, 7, 4, 10, 7, 10, 4, 4, 4, 4, 6, 6, 4, 4, 4, 5, 5, 4, 10, 10, 4, 5, 5, 5, 7, 4, 7, 4, 6, 6, 4, 4, 5, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 6]",48
10105_svg,49,6,"[10, 10, 6, 10, 6, 7]",10
1010_svg,42,1,[42],42
1013_svg,38,3,"[11, 17, 10]",17
10111_svg,87,8,"[17, 6, 12, 13, 7, 7, 6, 19]",19
10204_svg,18,2,"[5, 13]",13
10162_svg,57,3,"[36, 11, 10]",36
1022_svg,89,2,"[73, 16]",73
1021_svg,83,11,"[4, 4, 4, 4, 4, 4, 43, 4, 4, 4, 4]",43
10159_svg,153,5,"[37, 42, 10, 32, 32]",42
